Id,X,Y,Rotation
1,0,0,0
1,3500,0,0
1,0,10000,0
1,10500,5000,180
1,10500,6000,0
1,3500,15000,0
1,3500,20000,90
1,10500,12000,0
1,7000,20000,0
1,24500,2000,180
1,17500,10000,0
1,17500,15000,0
1,21000,11000,270
1,14000,16000,0
1,17500,23000,180
1,7000,11000,180
1,24500,4000,180
1,17500,2000,180
1,24500,0,0
1,24500,11000,0
1,21000,15000,0
1,21000,15000,180
1,7000,11000,0
1,24500,16000,0
1,24500,13000,0
1,3500,13000,0
1,14000,14000,0
1,10500,14000,180
1,14000,12000,0
1,24500,21000,0
1,3500,10000,180
1,17500,21000,180
1,24500,18000,180
1,10500,3000,180
1,7000,0,0
1,21000,7500,270
1,31500,20000,0
1,28000,21000,0
1,3500,16000,90
1,0,20000,270
1,17500,21000,0
1,28000,23000,0
1,31500,26000,180
1,3500,5000,180
1,14000,23000,180
1,28000,16000,180
1,24500,21000,180
1,25500,26000,0
1,10500,2000,0
1,14000,12000,180
1,10500,23000,180
1,38500,26000,180
1,7000,21000,180
1,14000,9000,180
1,24500,15000,180
1,28000,26000,180
1,3500,13000,180
1,10500,9000,0
1,10500,0,0
1,3500,21000,0
1,33000,31000,180
1,21000,18000,180
1,7000,18000,0
1,24500,5000,0
1,28000,8000,180
1,29500,28000,0
1,0,2000,0
1,24500,13000,180
1,33000,28000,180
1,28000,21000,180
1,3500,16000,180
1,0,13000,0
1,24500,2000,0
1,14000,2000,0
1,21000,21000,180
1,7000,5000,180
1,10500,4000,0
1,24500,18000,0
1,28000,5000,180
1,3500,2000,0
1,0,7000,0
1,10500,11000,180
1,0,5000,0
1,17500,0,0
1,7000,18000,180
1,28000,11000,180
1,17500,19000,180
1,500,23500,270
1,10500,20000,0
1,24500,8000,0
1,21000,4000,180
1,24500,23000,0
1,3500,18000,0
1,35000,23000,180
1,24500,4000,90
1,21000,18000,0
1,24000,7500,90
1,17500,12000,0
1,17500,18000,0
1,14000,10000,0
1,31000,17500,90
1,33000,26000,0
1,24500,23000,180
1,28000,21000,270
1,7000,13000,180
1,31500,23000,0
1,35000,26000,180
1,35000,23000,0
1,10500,18000,0
